algorithm,optimisation_method,dcmst,constellation,alpha,beta,gamma,mean_latency,average_hop_count,link_churn
PlusGrid,nan,nan,Kuiper-630,nan,nan,nan,0.06258187427101432,17.014718614718575,0
PlusGrid,nan,nan,Starlink-550,nan,nan,nan,0.09323945667728285,23.51484523057484,0
PlusGrid,nan,nan,Telesat-1015,nan,nan,nan,0.07976903375422309,10.0,0
MDTD,nan,nan,Kuiper-630,nan,nan,nan,0.059507479040031286,15.362501075186152,7521
MDTD,nan,nan,Starlink-550,nan,nan,nan,0.07446090055687103,18.281538980738826,18553
MDTD,nan,nan,Telesat-1015,nan,nan,nan,0.08677063043730385,7.82825218520456,5252
Novel,Evolutionary,ACO,Kuiper-630,0.27989344712352304,0.4902202669820183,0.4656955710813942,0.04453853237492052,12.74765555375908,168789
Novel,Evolutionary,ACO,Kuiper-630,0.16704831910618684,0.21595779990302091,0.602039304669439,0.0450345788593986,12.378307940409748,138982
Novel,Evolutionary,ACO,Kuiper-630,0.5420033106809024,0.11960701988073763,0.03732878185646053,0.04750256049500611,13.494674921625302,105353
Novel,Evolutionary,ACO,Starlink-550,0.290430084070176,0.9384586750376207,0.4747625373057114,0.04343207000372003,16.219826263264356,220667
Novel,Evolutionary,ACO,Starlink-550,0.7657997937462004,0.014836135537128833,0.9647446782700524,0.04560147549874452,14.987417118826365,146114
Novel,Evolutionary,ACO,Starlink-550,0.966922709089135,0.11719034869788134,0.0213097481920531,0.04519255096588481,16.59751147326426,113438
Novel,Evolutionary,ACO,Telesat-1015,0.4360063103164115,0.35815325483738686,0.08337116367410646,0.047873823941240005,7.324659495707118,36786
Novel,Evolutionary,ACO,Telesat-1015,0.43533472621442804,0.30779943195833465,0.19589009105300875,0.05089786223756444,7.025193402717215,38119
Novel,Evolutionary,ACO,Telesat-1015,0.561554077621407,0.21980159272148972,0.005339287680775292,0.05244582732606484,8.724820900439948,14421
Novel,Evolutionary,GA,Kuiper-630,0.09143151610398181,0.9677084532145792,0.1530608075600983,0.05979246979348655,5.9059301475703565,373980
Novel,Evolutionary,GA,Kuiper-630,0.20223524647035834,0.31364422367839256,0.5298459572514344,0.0702905940117254,5.870658730441843,365555
Novel,Evolutionary,GA,Kuiper-630,0.6811022367718556,0.13110626915325865,0.0019053076235577109,0.0606784647184768,5.889125277984836,346417
Novel,Evolutionary,GA,Starlink-550,0.0073866763530416185,0.8306180037923308,0.5674231556762148,0.05906814592192752,6.183738158946099,487815
Novel,Evolutionary,GA,Starlink-550,0.3079479256372477,0.9405465603274652,0.795354398527885,0.060304271823140194,6.136703296742253,473687
Novel,Evolutionary,GA,Starlink-550,0.9476158929450023,0.19764339258973182,0.2645190514551111,0.06519702069831285,6.157940374475434,459485
Novel,Evolutionary,GA,Telesat-1015,0.0073866763530416185,0.8306180037923308,0.5674231556762148,0.07446338096627493,4.762009884295599,119783
Novel,Evolutionary,GA,Telesat-1015,0.23431762191590438,0.28407774201783403,0.5389360110445159,0.07792141301940651,4.749723743628506,119932
Novel,Evolutionary,GA,Telesat-1015,0.5583622165745843,0.13037678330980879,0.037002038548733886,0.07510562220423798,4.76087601992364,114945
Novel,Evolutionary,Primal,Kuiper-630,0.18340450985343382,0.3042422429595377,0.5247564316322378,0.04448791205998737,12.595704691270635,163900
Novel,Evolutionary,Primal,Kuiper-630,0.1991168764831975,0.2588410391834772,0.4541412465654733,0.04496803134117305,12.37022247898002,137109
Novel,Evolutionary,Primal,Kuiper-630,0.9742718764346421,0.19622605769986726,0.07988988251923974,0.047924684180494385,13.297558057348306,108934
Novel,Evolutionary,Primal,Starlink-550,0.27087614203643273,0.8793096719854256,0.48481735238603857,0.043424316816543934,16.21197446848636,215803
Novel,Evolutionary,Primal,Starlink-550,0.4635127165691688,0.907854197520084,0.5415956343950685,0.04483727647929291,15.053656156922639,138653
Novel,Evolutionary,Primal,Starlink-550,0.8667363437825732,0.29313706341039864,0.05903097496707102,0.04532433276102043,16.273592703904345,114610
Novel,Evolutionary,Primal,Telesat-1015,0.008178147636186656,0.8521619737964254,0.6638996196286824,0.049011443248289814,8.235509351318877,61252
Novel,Evolutionary,Primal,Telesat-1015,0.716640991855544,0.01480208017639042,0.9548546673825299,0.054398606798304196,7.194339825958876,28365
Novel,Evolutionary,Primal,Telesat-1015,0.7768528622782217,0.20347422782781957,0.827211435916923,0.05429074908588297,7.259327325232086,27776
Novel,Random,ACO,Kuiper-630,0.5978999788110851,0.9218742350231168,0.0884925020519195,0.042547493936757615,14.535474470950518,134579
Novel,Random,ACO,Kuiper-630,0.3109823217156622,0.32518332202674705,0.7296061783380641,0.04634487092235192,12.439053647811182,131221
Novel,Random,ACO,Kuiper-630,0.9868869366005173,0.7722447692966574,0.1987156815341724,0.04635853463247835,13.521711717930458,107156
Novel,Random,ACO,Starlink-550,0.14092422497476265,0.8021969807540397,0.07455064367977082,0.04268182010081175,21.313857152631098,215151
Novel,Random,ACO,Starlink-550,0.13949386065204183,0.29214464853521815,0.3663618432936917,0.04457221519223849,14.988540162274102,158371
Novel,Random,ACO,Starlink-550,0.6232981268275579,0.3308980248526492,0.06355835028602363,0.04529008805805098,16.43970317515011,117989
Novel,Random,ACO,Telesat-1015,0.8180147659224931,0.8607305832563434,0.006952130531190703,0.04565040648510067,7.7971531678198325,34886
Novel,Random,ACO,Telesat-1015,0.3567533266935893,0.28093450968738076,0.5426960831582485,0.050069733408396405,6.951690214547353,41828
Novel,Random,ACO,Telesat-1015,0.6232981268275579,0.3308980248526492,0.06355835028602363,0.051221525516004736,7.7678195243909505,25900
Novel,Random,GA,Kuiper-630,0.5978999788110851,0.9218742350231168,0.0884925020519195,0.05837633072124036,5.866959982074314,357159
Novel,Random,GA,Kuiper-630,0.3143559810763267,0.5085706911647028,0.907566473926093,0.06999483746072363,5.869312110973724,365780
Novel,Random,GA,Kuiper-630,0.8180147659224931,0.8607305832563434,0.006952130531190703,0.05928020123789876,5.8825803169826285,348892
Novel,Random,GA,Starlink-550,0.14092422497476265,0.8021969807540397,0.07455064367977082,0.053654514952620413,6.163614836864469,486892
Novel,Random,GA,Starlink-550,0.1198653673336828,0.33761517140362796,0.9429097039125192,0.060657585874693117,6.138978106679204,471586
Novel,Random,GA,Starlink-550,0.8180147659224931,0.8607305832563434,0.006952130531190703,0.056171095498904124,6.1580586609408465,444561
Novel,Random,GA,Telesat-1015,0.14092422497476265,0.8021969807540397,0.07455064367977082,0.06145255772565367,4.7651337868480725,119002
Novel,Random,GA,Telesat-1015,0.8180147659224931,0.8607305832563434,0.006952130531190703,0.0623976083878034,4.731036765703432,116867
Novel,Random,GA,Telesat-1015,0.6232981268275579,0.3308980248526492,0.06355835028602363,0.07104365494324945,4.754573482954436,114998
Novel,Random,Primal,Kuiper-630,0.5978999788110851,0.9218742350231168,0.0884925020519195,0.04253978030804075,14.540022651102449,134113
Novel,Random,Primal,Kuiper-630,0.6334037565104235,0.8714605901877177,0.8036720768991145,0.04471923050384877,12.445168256397883,141707
Novel,Random,Primal,Kuiper-630,0.9868869366005173,0.7722447692966574,0.1987156815341724,0.04634697761324253,13.514584743429323,106342
Novel,Random,Primal,Starlink-550,0.14092422497476265,0.8021969807540397,0.07455064367977082,0.04264440849489404,21.272723390995665,213211
Novel,Random,Primal,Starlink-550,0.13949386065204183,0.29214464853521815,0.3663618432936917,0.04459047653462327,15.006594361882316,149970
Novel,Random,Primal,Starlink-550,0.6232981268275579,0.3308980248526492,0.06355835028602363,0.04530394155849908,16.41487238497135,114597
Novel,Random,Primal,Telesat-1015,0.8180147659224931,0.8607305832563434,0.006952130531190703,0.04565359516799299,7.788797953369383,34762
Novel,Random,Primal,Telesat-1015,0.3567533266935893,0.28093450968738076,0.5426960831582485,0.04997446402999069,6.974108727251588,37292
Novel,Random,Primal,Telesat-1015,0.6232981268275579,0.3308980248526492,0.06355835028602363,0.051266823686008184,7.780098842955983,23646
